,States,Max. Demand Met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),Date
23,puducherry,414,0,9.0,9.6,-0.6,24,0.00,08.04.23
24,bihar,5789,0,109.0,96.1,-0.8,250,0.51,08.04.23
25,dvc,3543,0,76.9,-49.1,-0.3,268,0.00,08.04.23
26,jharkhand,1428,257,32.3,23.5,0.3,127,2.57,08.04.23
27,odisha,5534,0,107.8,42.7,-1.5,389,0.00,08.04.23
28,westbengal,9482,0,204.3,62.9,-2.6,110,0.00,08.04.23
29,sikkim,100,0,1.5,1.4,0.1,41,0.00,08.04.23
30,arunachalpradesh,155,0,2.5,2.4,0.1,47,0.00,08.04.23
31,assam,1718,0,31.2,24.2,0.4,138,0.00,08.04.23
32,manipur,213,0,2.7,2.6,0.0,40,0.00,08.04.23
33,meghalaya,295,55,5.2,3.1,0.1,35,1.45,08.04.23
34,mizoram,126,0,1.8,1.6,-0.3,10,0.00,08.04.23
35,nagaland,135,0,2.0,2.1,-0.1,21,0.00,08.04.23
36,tripura,271,0,4.7,5.1,0.4,61,0.00,08.04.23
0,punjab,7527,0,158.9,70.8,-1.1,130,0.00,08.05.23
1,haryana,7544,288,159.8,113.2,-0.5,157,0.83,08.05.23
2,rajasthan,13976,0,272.9,68.8,-3.1,245,2.97,08.05.23
3,delhi,4460,0,91.7,90.7,-1.7,92,0.00,08.05.23
4,up,21059,0,389.6,146.0,0.5,527,2.65,08.05.23
5,uttarakhand,2009,0,41.9,24.0,1.2,211,0.52,08.05.23
6,hp,1566,0,29.1,12.3,0.7,141,0.01,08.05.23
7,j&k(ut)&ladakh(ut),2663,130,50.2,32.3,0.0,255,1.85,08.05.23
8,chandigarh,222,0,4.5,4.0,0.5,38,0.00,08.05.23
9,railways_north,174,0,3.8,3.2,0.6,60,0.00,08.05.23
10,chhattisgarh,4752,0,107.4,43.3,-0.4,289,0.00,08.05.23
11,gujarat,20100,0,430.4,191.2,3.3,1337,0.28,08.05.23
12,mp,10487,0,231.0,120.5,-2.8,325,0.00,08.05.23
13,maharashtra,25809,0,553.0,217.3,-1.0,634,0.00,08.05.23
14,goa,714,0,15.2,15.2,-0.3,62,0.00,08.05.23
15,dnhddpdcl,1248,0,28.7,29.0,-0.3,62,0.00,08.05.23
16,amnsil,842,0,18.8,9.3,0.0,274,0.00,08.05.23
17,balco,518,0,12.3,12.5,-0.2,513,0.00,08.05.23
18,andhrapradesh,9666,0,200.7,60.8,3.4,1108,0.00,08.05.23
19,telangana,8475,0,176.0,43.0,1.0,455,0.00,08.05.23
20,karnataka,12128,0,229.3,96.5,-2.9,628,0.00,08.05.23
21,kerala,4556,0,91.3,66.2,0.4,383,0.00,08.05.23
22,tamilnadu,14524,0,305.4,173.0,0.0,620,0.00,08.05.23
23,puducherry,424,0,9.3,9.1,-0.5,47,0.00,08.05.23
24,bihar,5972,0,124.7,115.4,-1.8,331,2.57,08.05.23
25,dvc,3397,0,77.0,-48.7,-0.5,287,0.00,08.05.23
26,jharkhand,1632,0,34.3,27.8,-1.7,186,2.67,08.05.23
27,odisha,5531,0,123.2,42.2,-2.0,383,0.00,08.05.23
28,westbengal,10462,0,211.8,82.7,-2.8,222,0.00,08.05.23
29,sikkim,93,0,1.4,1.3,0.1,50,0.00,08.05.23
30,railways_east,6,0,0.1,0.2,-0.1,0,0.00,08.05.23
31,arunachalpradesh,144,0,2.5,2.5,-0.1,56,0.00,08.05.23
32,assam,1849,0,31.6,26.3,0.1,114,0.00,08.05.23
33,manipur,185,0,2.4,2.4,0.0,38,0.00,08.05.23
34,meghalaya,302,22,5.3,3.6,0.3,80,1.13,08.05.23
35,mizoram,118,0,1.9,1.8,-0.2,13,0.00,08.05.23
36,nagaland,150,0,2.5,2.5,-0.1,13,0.00,08.05.23
37,tripura,331,0,5.8,5.7,0.3,110,0.00,08.05.23
0,punjab,8920,0,188.5,82.7,-0.9,75,0.00,08.06.23
1,haryana,9689,413,200.2,129.4,-5.3,64,1.05,08.06.23
2,rajasthan,13986,0,287.8,65.3,-3.8,308,0.00,08.06.23
3,delhi,5971,0,121.2,110.2,-1.9,120,0.00,08.06.23
4,up,25942,0,527.8,246.7,-0.8,253,0.00,08.06.23
5,uttarakhand,2298,0,50.2,29.0,1.1,156,0.74,08.06.23
6,hp,1536,0,31.8,6.9,0.9,116,0.00,08.06.23
7,j&k(ut)&ladakh(ut),2297,60,50.5,25.5,1.3,151,1.83,08.06.23
8,chandigarh,282,0,5.7,5.7,0.0,22,0.00,08.06.23
9,railways_north,172,0,3.9,3.3,0.6,46,0.00,08.06.23
10,chhattisgarh,4906,0,111.1,52.0,-1.0,272,0.00,08.06.23
11,gujarat,22118,0,460.0,202.0,3.2,1244,0.00,08.06.23
12,mp,11259,0,253.7,134.4,-3.1,322,0.00,08.06.23
13,maharashtra,28153,865,601.2,210.9,3.3,1706,2.57,08.06.23
14,goa,775,0,17.1,16.1,0.7,153,0.00,08.06.23
15,dnhddpdcl,1260,0,29.7,29.9,-0.2,60,0.00,08.06.23
16,amnsil,779,0,17.2,10.6,-0.2,264,0.00,08.06.23
17,balco,518,0,12.4,12.5,-0.1,517,0.00,08.06.23
18,andhrapradesh,11948,0,242.1,66.4,0.3,1128,0.00,08.06.23
19,telangana,10123,0,203.2,82.4,1.1,768,0.00,08.06.23
20,karnataka,13646,0,264.8,79.6,4.4,884,0.00,08.06.23
21,kerala,4028,0,82.2,65.8,0.1,254,0.00,08.06.23
22,tamilnadu,17829,0,380.9,148.7,-1.9,1386,0.00,08.06.23
23,puducherry,480,0,10.6,10.0,-0.1,55,0.00,08.06.23
24,bihar,6955,0,148.5,137.7,-0.8,146,1.50,08.06.23
25,dvc,3351,0,75.9,-49.9,-1.3,313,0.31,08.06.23
26,jharkhand,1860,0,38.2,35.2,-2.0,391,0.00,08.06.23
27,odisha,5911,0,132.1,61.6,1.7,707,0.00,08.06.23
28,westbengal,11806,0,243.1,123.1,-2.4,443,0.00,08.06.23
29,sikkim,99,0,1.5,1.3,0.2,41,0.00,08.06.23
30,railways_east,41,0,0.2,0.3,0.0,6,0.00,08.06.23
31,arunachalpradesh,158,0,2.9,2.4,0.5,51,0.00,08.06.23
32,assam,2300,0,47.4,40.1,1.5,300,0.35,08.06.23
33,manipur,157,0,2.2,2.4,-0.2,13,0.00,08.06.23
34,meghalaya,317,19,4.5,3.4,0.0,83,1.69,08.06.23
35,mizoram,109,0,1.9,1.8,-0.2,16,0.00,08.06.23
36,nagaland,170,0,3.0,2.8,-0.1,10,0.00,08.06.23
37,tripura,332,0,5.8,6.0,0.5,100,0.00,08.06.23
0,punjab,9584,0,190.0,126.8,-5.6,256,0.00,08.07.23
1,haryana,10666,0,196.1,153.3,-3.4,147,0.00,08.07.23
2,rajasthan,11040,0,240.5,93.8,-0.8,347,0.00,08.07.23
3,delhi,5790,0,111.3,108.1,-2.2,110,0.06,08.07.23
4,up,22500,0,433.6,203.0,-0.9,292,0.12,08.07.23
5,uttarakhand,1888,0,42.8,19.5,-0.8,135,0.00,08.07.23
6,hp,1659,0,33.5,-10.1,0.5,231,0.01,08.07.23
7,j&k(ut)&ladakh(ut),2352,0,48.1,21.1,0.5,215,0.00,08.07.23
8,chandigarh,260,0,5.2,5.6,-0.4,18,0.00,08.07.23
9,railways_north,141,0,3.1,3.5,-0.5,0,0.00,08.07.23
10,chhattisgarh,4501,0,99.9,50.1,-0.9,259,0.00,08.07.23
11,gujarat,15456,0,350.5,176.1,0.0,724,0.00,08.07.23
12,mp,10255,0,224.6,120.5,-2.5,1104,0.00,08.07.23
13,maharashtra,22345,0,495.1,164.0,-5.5,601,0.00,08.07.23
14,goa,614,0,12.3,12.1,-0.2,64,0.00,08.07.23
15,dnhddpdcl,1298,0,30.2,30.1,0.1,65,0.00,08.07.23
16,amnsil,803,0,17.8,9.3,-0.3,265,0.00,08.07.23
17,balco,521,0,12.4,12.5,-0.1,0,0.00,08.07.23
18,andhrapradesh,9758,0,209.4,43.2,1.2,774,0.00,08.07.23
19,telangana,11144,0,216.9,98.1,1.9,1037,0.00,08.07.23
20,karnataka,10913,0,203.1,44.8,0.2,775,0.00,08.07.23
21,kerala,3548,0,70.8,51.4,1.3,262,0.00,08.07.23
22,tamilnadu,16969,0,360.6,167.0,-2.5,420,0.00,08.07.23
23,puducherry,449,0,10.2,9.6,0.0,52,0.00,08.07.23
24,bihar,6555,0,133.6,130.3,-2.1,245,0.95,08.07.23
25,dvc,3535,0,73.7,-27.5,0.6,223,0.00,08.07.23
26,jharkhand,1713,0,35.9,28.0,-0.8,123,0.00,08.07.23
27,odisha,6053,0,119.2,41.4,-2.9,240,0.00,08.07.23
28,westbengal,9343,0,189.8,76.4,-2.3,537,0.00,08.07.23
29,sikkim,78,0,1.2,1.3,-0.1,11,0.00,08.07.23
30,railways_east,10,0,0.3,0.3,0.0,8,0.00,08.07.23
31,arunachalpradesh,142,0,2.4,2.2,0.0,42,0.00,08.07.23
32,assam,2201,0,43.7,36.5,0.6,167,0.00,08.07.23
33,manipur,167,0,2.5,2.6,-0.1,27,0.00,08.07.23
34,meghalaya,334,0,5.2,1.7,-0.1,54,1.01,08.07.23
35,mizoram,115,0,1.8,1.6,-0.3,16,0.00,08.07.23
36,nagaland,153,0,2.9,2.6,-0.1,27,0.00,08.07.23
37,tripura,319,0,5.5,5.4,0.4,55,0.00,08.07.23
0,punjab,14582,0,321.9,191.9,-0.6,184,0.00,08.08.23
1,haryana,11781,0,249.0,191.8,-0.8,124,1.09,08.08.23
2,rajasthan,14626,0,316.7,77.3,-5.2,129,0.00,08.08.23
3,delhi,6309,0,129.5,116.0,-1.7,122,0.00,08.08.23
4,up,24794,360,488.5,225.2,-1.0,352,3.20,08.08.23
5,uttarakhand,2046,0,45.7,22.4,-1.0,26,0.69,08.08.23
6,hp,1659,0,35.6,0.0,-0.4,110,0.08,08.08.23
7,j&k(ut)&ladakh(ut),2483,0,52.2,25.3,1.0,160,0.81,08.08.23
8,chandigarh,361,0,7.1,7.5,-0.3,29,0.00,08.08.23
9,railways_north,169,0,3.2,3.2,0.1,75,0.00,08.08.23
10,chhattisgarh,4770,0,108.2,50.1,-1.3,178,0.00,08.08.23
11,gujarat,17834,0,394.1,139.8,1.1,953,0.00,08.08.23
12,mp,11033,0,236.1,88.3,-3.4,436,0.00,08.08.23
13,maharashtra,24154,0,536.7,186.4,0.7,712,0.68,08.08.23
14,goa,646,0,13.7,13.3,0.0,37,0.00,08.08.23
15,dnhddpdcl,1299,0,30.1,30.0,0.1,104,0.00,08.08.23
16,amnsil,858,0,19.1,9.2,0.1,280,0.00,08.08.23
17,balco,520,0,12.4,12.5,-0.1,518,0.00,08.08.23
18,andhrapradesh,12508,0,236.8,97.6,6.4,1665,8.81,08.08.23
19,telangana,13167,0,259.7,151.6,0.4,929,0.00,08.08.23
20,karnataka,13775,0,242.6,68.9,5.0,1110,3.30,08.08.23
21,kerala,4075,0,84.2,64.5,1.4,498,0.00,08.08.23
22,tamilnadu,17552,0,389.7,191.2,7.6,2189,6.81,08.08.23
23,puducherry,479,0,10.7,10.2,-0.2,38,0.00,08.08.23
24,bihar,5921,0,121.6,117.0,0.0,351,2.71,08.08.23
25,dvc,3340,0,70.0,-39.5,-3.8,199,0.00,08.08.23
26,jharkhand,1546,0,35.1,29.1,1.6,161,1.84,08.08.23
27,odisha,6696,0,119.2,43.4,-1.1,333,0.00,08.08.23
28,westbengal,8384,0,182.0,52.1,-1.9,249,0.00,08.08.23
29,sikkim,79,0,1.1,1.0,0.1,25,0.00,08.08.23
30,railways_east,15,0,0.1,0.1,0.0,7,0.00,08.08.23
31,arunachalpradesh,151,0,2.9,2.9,-0.5,9,0.00,08.08.23
32,assam,2185,0,42.2,34.3,0.0,158,0.04,08.08.23
33,manipur,158,0,2.3,2.5,-0.2,16,0.00,08.08.23
34,meghalaya,324,7,5.2,1.3,-0.1,44,0.37,08.08.23
35,mizoram,110,0,1.8,1.6,-0.1,10,0.00,08.08.23
36,nagaland,165,0,2.8,2.5,0.1,18,0.00,08.08.23
37,tripura,280,0,4.6,5.0,-0.3,28,0.00,08.08.23
0,punjab,14503,0,340.0,218.8,0.3,317,0.00,08.09.23
1,haryana,12360,0,254.7,203.8,0.6,303,0.00,08.09.23
2,rajasthan,16591,0,345.8,150.9,-1.1,352,0.00,08.09.23
3,delhi,5963,0,127.0,108.9,-2.9,142,0.00,08.09.23
4,up,22509,0,467.5,216.7,-2.1,238,0.00,08.09.23
5,uttarakhand,2289,0,46.8,24.1,-0.1,244,0.08,08.09.23
6,hp,1739,43,36.0,8.6,1.0,201,0.04,08.09.23
7,j&k(ut)&ladakh(ut),2479,250,52.4,24.6,4.8,421,2.54,08.09.23
8,chandigarh,378,0,7.5,7.5,0.0,35,0.00,08.09.23
9,railways_north,169,0,3.5,3.6,-0.1,16,0.00,08.09.23
10,chhattisgarh,4601,0,105.3,44.2,-2.2,266,0.00,08.09.23
11,gujarat,18965,0,400.8,135.5,-7.5,783,0.00,08.09.23
12,mp,10865,0,235.0,149.7,-2.3,475,0.00,08.09.23
13,maharashtra,23694,0,511.2,175.7,-4.7,946,0.00,08.09.23
14,goa,653,0,13.8,13.7,0.0,194,0.00,08.09.23
15,dnhddpdcl,1304,0,29.8,29.8,0.0,118,0.00,08.09.23
16,amnsil,798,0,18.1,6.5,0.2,253,0.00,08.09.23
17,balco,521,0,12.5,12.5,0.0,7,0.00,08.09.23
18,andhrapradesh,9686,0,209.0,56.4,-2.9,670,0.00,08.09.23
19,telangana,10123,0,196.4,87.2,1.6,814,0.00,08.09.23
20,karnataka,12425,0,233.3,61.0,-2.7,477,0.00,08.09.23
21,kerala,3826,0,77.5,63.7,0.6,247,0.00,08.09.23
22,tamilnadu,16335,0,341.1,140.2,-10.0,646,0.00,08.09.23
23,puducherry,438,0,9.9,9.4,-0.2,38,0.00,08.09.23
24,bihar,6327,0,123.5,120.2,-1.5,229,0.03,08.09.23
25,dvc,3593,0,73.6,-38.5,-0.6,241,0.00,08.09.23
26,jharkhand,1703,0,34.6,29.6,0.9,214,0.11,08.09.23
27,odisha,5368,0,117.4,40.6,-1.2,362,0.00,08.09.23
28,westbengal,8911,0,189.6,73.3,-3.4,186,0.00,08.09.23
29,sikkim,82,0,1.3,1.3,0.0,14,0.00,08.09.23
30,railways_east,16,0,0.2,0.2,0.0,0,0.00,08.09.23
31,arunachalpradesh,161,0,3.0,2.6,-0.1,59,0.00,08.09.23
32,assam,2340,0,44.1,33.7,3.0,286,0.72,08.09.23
33,manipur,179,0,2.5,2.6,-0.1,24,0.00,08.09.23
34,meghalaya,318,11,5.4,1.6,-0.2,38,0.13,08.09.23
35,mizoram,124,0,2.0,1.4,-0.1,16,0.00,08.09.23
36,nagaland,154,0,2.9,2.6,-0.1,5,0.00,08.09.23
37,tripura,303,0,6.0,5.3,0.4,41,0.00,08.09.23
0,punjab,12535,0,227.2,104.7,-0.4,246,0.00,08.10.23
1,haryana,8755,0,191.1,129.1,0.8,182,2.29,08.10.23
2,rajasthan,14323,0,304.9,68.4,-3.2,374,0.00,08.10.23
3,delhi,5277,0,105.0,84.3,0.3,182,0.00,08.10.23
4,up,20159,437,450.3,177.2,-1.8,1347,3.85,08.10.23
5,uttarakhand,2037,0,40.7,25.3,0.0,150,0.45,08.10.23
6,hp,1504,0,30.8,14.6,0.3,84,0.99,08.10.23
7,j&k(ut)&ladakh(ut),2443,237,48.8,32.0,5.3,625,1.35,08.10.23
8,chandigarh,240,0,4.4,4.7,-0.3,13,0.00,08.10.23
9,railways_north,167,0,3.4,2.9,0.4,51,0.00,08.10.23
10,chhattisgarh,5028,0,114.9,60.4,0.0,250,0.00,08.10.23
11,gujarat,19582,0,408.3,148.0,-1.7,912,0.00,08.10.23
12,mp,12545,0,277.2,156.0,-3.9,602,0.00,08.10.23
13,maharashtra,24953,0,549.2,181.0,-5.4,802,0.00,08.10.23
14,goa,649,0,13.0,11.2,1.3,104,0.00,08.10.23
15,dnhddpdcl,1254,0,28.9,28.6,0.3,95,0.00,08.10.23
16,amnsil,789,0,17.9,5.2,0.0,243,0.00,08.10.23
17,balco,521,0,12.4,12.6,-0.2,6,0.00,08.10.23
18,andhrapradesh,12046,0,238.8,120.2,6.0,990,1.25,08.10.23
19,telangana,14448,0,277.4,139.3,5.1,1214,0.00,08.10.23
20,karnataka,14689,0,247.2,88.6,3.6,1060,6.40,08.10.23
21,kerala,3656,0,77.3,53.5,0.6,233,0.00,08.10.23
22,tamilnadu,15075,0,337.2,189.9,-1.0,386,0.00,08.10.23
23,puducherry,417,0,9.6,9.0,-0.2,26,0.00,08.10.23
24,bihar,6219,289,126.7,115.5,2.5,495,5.50,08.10.23
25,dvc,3335,0,72.8,-41.7,1.3,400,0.00,08.10.23
26,jharkhand,1501,235,31.9,23.5,-3.4,188,1.67,08.10.23
27,odisha,5464,0,130.2,55.0,-0.4,324,0.07,08.10.23
28,westbengal,8832,0,185.4,74.2,-0.3,150,0.00,08.10.23
29,sikkim,56,0,0.7,0.8,-0.1,13,0.00,08.10.23
30,railways_east,15,0,0.1,0.1,0.0,0,0.00,08.10.23
31,arunachalpradesh,148,0,2.7,2.7,-0.4,27,0.00,08.10.23
32,assam,1902,0,34.0,25.2,0.5,194,0.00,08.10.23
33,manipur,188,0,2.6,2.8,-0.2,9,0.00,08.10.23
34,meghalaya,323,0,5.8,1.9,-0.2,76,0.00,08.10.23
35,mizoram,109,0,1.6,1.0,-0.5,3,0.00,08.10.23
36,nagaland,153,0,2.6,2.3,-0.1,12,0.00,08.10.23
37,tripura,293,0,5.2,5.3,-0.3,43,0.00,08.10.23
0,punjab,6066,0,123.2,34.0,-1.7,142,0.35,09.04.23
1,haryana,5979,0,115.0,83.4,-2.5,57,0.00,09.04.23
2,rajasthan,11670,0,231.2,53.8,-3.4,125,0.00,09.04.23
3,delhi,3409,0,70.7,69.9,-1.7,78,0.00,09.04.23
4,up,19078,0,336.9,106.7,0.1,667,0.01,09.04.23
5,uttarakhand,1864,0,36.4,25.4,0.3,127,0.26,09.04.23
6,hp,1562,0,29.5,18.0,0.1,43,0.00,09.04.23
7,j&k(ut)&ladakh(ut),2794,0,55.5,47.6,-0.9,180,0.54,09.04.23
8,chandigarh,169,0,3.1,3.1,0.0,20,0.00,09.04.23
9,railways_north,150,0,3.1,3.2,-0.1,11,0.00,09.04.23
10,chhattisgarh,5014,0,117.5,59.0,-0.6,179,0.00,09.04.23
11,gujarat,18934,0,420.8,194.8,2.4,1500,0.00,09.04.23
12,mp,10990,0,232.9,132.3,-3.5,316,0.00,09.04.23
13,maharashtra,24808,0,534.1,177.2,-0.3,706,0.00,09.04.23
14,goa,678,0,14.3,13.4,0.4,44,0.00,09.04.23
15,dnhddpdcl,1220,0,28.2,28.5,-0.3,113,0.00,09.04.23
16,amnsil,791,0,17.8,8.8,0.0,299,0.00,09.04.23
17,balco,521,0,12.4,12.4,0.0,11,0.00,09.04.23
18,andhrapradesh,11177,0,226.9,85.4,-1.6,633,0.00,09.04.23
19,telangana,12488,0,253.6,131.4,1.4,583,0.00,09.04.23
20,karnataka,13401,0,268.4,115.8,-3.4,753,0.00,09.04.23
21,kerala,4003,0,82.5,62.7,-0.5,188,0.00,09.04.23
22,tamilnadu,15616,0,347.9,222.0,0.7,805,0.00,09.04.23
23,puducherry,392,0,9.1,9.3,-0.9,4,0.00,09.04.23
24,bihar,5837,0,110.7,98.5,-0.8,252,0.36,09.04.23
25,dvc,3560,0,75.8,-47.1,0.0,312,0.00,09.04.23
26,jharkhand,1443,89,32.1,22.7,0.8,191,4.50,09.04.23
27,odisha,6069,0,117.0,51.8,-2.5,352,0.00,09.04.23
28,westbengal,8874,0,194.3,57.6,-2.6,132,0.00,09.04.23
29,sikkim,79,0,1.2,1.3,-0.1,32,0.00,09.04.23
30,arunachalpradesh,152,0,2.6,2.3,0.2,58,0.00,09.04.23
31,assam,1682,0,30.6,23.0,0.7,143,0.00,09.04.23
32,manipur,175,0,2.5,2.6,-0.2,31,0.00,09.04.23
33,meghalaya,279,63,5.1,3.2,0.2,41,1.49,09.04.23
34,mizoram,103,0,1.7,1.5,-0.3,7,0.00,09.04.23
35,nagaland,134,0,2.0,2.1,-0.1,21,0.00,09.04.23
36,tripura,278,0,4.4,5.3,0.3,52,0.00,09.04.23
0,punjab,8392,0,166.7,68.1,-0.7,74,0.00,09.05.23
1,haryana,8061,0,169.1,113.4,-1.3,203,0.00,09.05.23
2,rajasthan,14344,0,289.3,85.3,-1.6,304,0.50,09.05.23
3,delhi,4518,0,93.9,93.8,-2.5,115,0.00,09.05.23
4,up,20990,1010,419.5,166.5,0.2,539,5.35,09.05.23
5,uttarakhand,1959,0,42.4,27.5,0.8,209,0.49,09.05.23
6,hp,1564,0,29.8,12.4,1.2,160,0.07,09.05.23
7,j&k(ut)&ladakh(ut),2790,150,56.4,38.7,1.5,367,0.64,09.05.23
8,chandigarh,225,0,4.6,4.5,0.1,19,0.00,09.05.23
9,railways_north,174,0,3.8,3.2,0.6,47,0.00,09.05.23
10,chhattisgarh,4723,0,108.2,45.2,-1.5,152,0.00,09.05.23
11,gujarat,20321,0,440.5,196.7,-0.1,751,0.00,09.05.23
12,mp,10987,0,240.7,121.9,-2.7,306,0.00,09.05.23
13,maharashtra,25524,0,559.4,204.6,1.1,939,0.00,09.05.23
14,goa,734,0,15.6,15.2,0.1,52,0.00,09.05.23
15,dnhddpdcl,1258,0,29.1,29.4,-0.3,51,0.00,09.05.23
16,amnsil,757,0,17.0,10.4,-0.4,189,0.00,09.05.23
17,balco,519,0,12.4,12.3,0.1,58,0.00,09.05.23
18,andhrapradesh,9754,0,209.0,59.1,2.9,876,2.74,09.05.23
19,telangana,8784,0,181.3,47.0,-0.2,511,0.00,09.05.23
20,karnataka,11679,0,216.9,83.4,-4.2,459,0.00,09.05.23
21,kerala,4372,0,92.5,65.2,-0.7,124,0.00,09.05.23
22,tamilnadu,15176,0,320.1,180.3,-2.4,555,0.00,09.05.23
23,puducherry,447,0,9.8,9.3,-0.2,38,0.00,09.05.23
24,bihar,6421,408,128.4,117.1,-0.1,379,2.57,09.05.23
25,dvc,3554,0,77.6,-51.2,-0.3,338,0.00,09.05.23
26,jharkhand,1642,0,34.5,27.8,-1.9,167,3.53,09.05.23
27,odisha,6131,0,123.8,42.7,-1.3,423,0.00,09.05.23
28,westbengal,10834,0,225.3,89.5,-2.7,260,0.00,09.05.23
29,sikkim,100,0,1.5,1.3,0.3,58,0.00,09.05.23
30,railways_east,8,0,0.1,0.2,-0.1,0,0.00,09.05.23
31,arunachalpradesh,149,0,2.4,2.3,0.0,51,0.00,09.05.23
32,assam,1983,0,36.4,29.6,0.7,141,0.06,09.05.23
33,manipur,181,0,2.5,2.3,0.2,31,0.00,09.05.23
34,meghalaya,328,71,4.8,3.6,-0.2,65,1.41,09.05.23
35,mizoram,115,0,2.0,1.8,-0.1,19,0.00,09.05.23
36,nagaland,151,0,2.5,2.5,-0.1,16,0.00,09.05.23
37,tripura,346,0,6.6,6.1,0.9,77,0.00,09.05.23
0,punjab,9917,0,208.8,88.9,0.7,433,0.00,09.06.23
1,haryana,9808,0,208.3,139.9,-6.3,75,0.73,09.06.23
2,rajasthan,14399,0,295.8,61.6,-2.6,221,0.00,09.06.23
3,delhi,6387,0,126.4,116.6,-1.9,190,0.00,09.06.23
4,up,26131,0,535.9,249.9,-1.2,327,0.61,09.06.23
5,uttarakhand,2381,0,51.7,28.6,-0.3,120,0.43,09.06.23
6,hp,1583,0,32.6,6.4,0.4,118,0.01,09.06.23
7,j&k(ut)&ladakh(ut),2298,170,50.1,23.8,1.8,238,3.83,09.06.23
8,chandigarh,311,0,6.1,5.9,0.2,33,0.00,09.06.23
9,railways_north,189,0,4.1,3.2,0.9,54,0.00,09.06.23
10,chhattisgarh,4877,0,111.7,54.4,-0.9,231,0.00,09.06.23
11,gujarat,22225,0,462.3,210.4,2.5,944,0.00,09.06.23
12,mp,11428,0,251.2,134.3,-4.1,488,0.00,09.06.23
13,maharashtra,28165,344,626.3,216.0,0.1,981,0.92,09.06.23
14,goa,729,0,16.0,15.9,-0.4,108,0.00,09.06.23
15,dnhddpdcl,1274,0,29.5,29.7,-0.2,75,0.00,09.06.23
16,amnsil,774,0,17.1,10.5,-0.1,258,0.00,09.06.23
17,balco,517,0,12.4,12.3,0.1,100,0.00,09.06.23
18,andhrapradesh,12358,0,249.8,65.0,-0.2,606,0.00,09.06.23
19,telangana,10361,0,204.5,82.3,-0.3,405,0.00,09.06.23
20,karnataka,13300,0,256.1,76.8,-1.0,555,0.00,09.06.23
21,kerala,3765,0,80.5,56.7,0.9,492,0.00,09.06.23
22,tamilnadu,17909,0,389.0,159.7,-1.5,804,0.00,09.06.23
23,puducherry,491,0,11.1,10.4,0.0,50,0.00,09.06.23
24,bihar,6806,0,145.7,135.3,-0.8,272,2.53,09.06.23
25,dvc,3418,0,78.1,-50.8,1.3,332,0.00,09.06.23
26,jharkhand,1839,0,37.3,36.2,-3.8,297,0.00,09.06.23
27,odisha,5958,0,133.1,63.1,3.1,855,0.00,09.06.23
28,westbengal,11416,0,218.9,105.4,-6.0,389,0.00,09.06.23
29,sikkim,97,0,1.5,1.4,0.1,28,0.00,09.06.23
30,railways_east,29,0,0.2,0.3,-0.1,18,0.00,09.06.23
31,arunachalpradesh,157,0,2.9,2.4,0.5,54,0.00,09.06.23
32,assam,2095,0,40.7,35.3,-0.5,236,0.51,09.06.23
33,manipur,160,0,2.3,2.4,-0.1,13,0.00,09.06.23
34,meghalaya,318,19,4.7,3.4,-0.3,90,1.08,09.06.23
35,mizoram,106,0,1.8,1.7,-0.2,17,0.00,09.06.23
36,nagaland,161,0,2.9,2.6,-0.1,6,0.00,09.06.23
37,tripura,282,0,5.4,5.5,0.2,85,0.00,09.06.23
0,punjab,6839,0,150.4,101.1,-2.1,301,0.00,09.07.23
1,haryana,7417,0,148.6,111.3,-2.3,191,0.00,09.07.23
2,rajasthan,10377,0,234.5,76.2,-2.5,308,0.00,09.07.23
3,delhi,4838,0,101.4,97.6,-2.3,176,0.00,09.07.23
4,up,22264,0,422.0,194.2,-2.4,339,0.00,09.07.23
5,uttarakhand,1675,0,36.1,20.2,1.0,308,0.56,09.07.23
6,hp,1482,0,30.3,12.6,11.2,756,0.01,09.07.23
7,j&k(ut)&ladakh(ut),2120,0,43.9,19.6,1.4,366,1.03,09.07.23
8,chandigarh,200,0,3.9,3.9,0.0,45,0.00,09.07.23
9,railways_north,136,0,2.9,3.6,-0.6,0,0.00,09.07.23
10,chhattisgarh,4597,0,102.4,59.6,-1.8,202,0.00,09.07.23
11,gujarat,14494,0,321.0,173.7,0.0,871,0.00,09.07.23
12,mp,10059,0,217.9,108.0,-3.8,462,0.00,09.07.23
13,maharashtra,21433,0,485.7,167.0,-4.0,596,0.00,09.07.23
14,goa,581,0,11.6,11.5,-0.3,60,0.00,09.07.23
15,dnhddpdcl,1263,0,28.7,28.9,-0.2,87,0.00,09.07.23
16,amnsil,787,0,17.4,10.1,0.3,253,0.00,09.07.23
17,balco,520,0,12.4,12.5,-0.1,0,0.00,09.07.23
18,andhrapradesh,10639,0,217.1,53.4,-0.3,1255,0.00,09.07.23
19,telangana,11026,0,215.9,95.6,-0.1,645,0.00,09.07.23
20,karnataka,9527,0,188.3,43.3,0.6,637,0.00,09.07.23
21,kerala,3487,0,67.3,46.6,1.4,331,0.00,09.07.23
22,tamilnadu,14934,0,331.6,152.8,-6.5,364,0.00,09.07.23
23,puducherry,430,0,9.6,9.5,-0.6,63,0.00,09.07.23
24,bihar,6710,145,139.6,133.3,-2.2,333,1.97,09.07.23
