,Category,NR,WR,SR,ER,NER,Total,Date
4,Wind Gen (MU),17,86,21,-,-,153,10.05.21
5,Solar Gen (MU),47.25,40.24,96.67,5.11,0.2,167377,10.05.21
6,Energy Shortage (MU),3.45,0,0,0,0.04,248,10.05.21
7,Schedule(MU),222.1,-249.7,151.2,-124.5,0.9,3642,10.05.21
8,Actual(MU),209.8,-246.8,168.1,-137.6,1.1,487,10.05.21
9,O/D/U/D(MU),-12.3,2.9,16.9,-13.1,0.2,283,10.05.21
10,Central,4837,18197,7132,48,913,125,10.05.21
11,State,11863,14782,9035,4665,11,1.7,10.05.21
12,Coal,498,1238,491,537,10,0,10.05.21
13,Lignite,20,10,50,0,0,-9.2,10.05.21
14,Hydro,184,44,63,54,15,-9.2,10.05.21
15,Nuclear,31,16,63,0,0,31665,10.05.21
0,Demand Met during Evening Peak hrs(MW),62721,61088,41078,22606,2894,50900,10.05.22
1,Peak Shortage (MW),818,0,0,542,0,2477,10.05.22
2,Energy Met (MU),1447,1494,968,516,52,56,10.05.22
3,Hydro Gen (MU),246,34,64,56,11,487,10.05.22
4,Wind Gen (MU),27,100,222,-,-,115,10.05.22
5,Solar Gen (MU),108.73,48.89,89.92,4.89,0.52,171783,10.05.22
6,Energy Shortage (MU),9.12,4.92,0,3.91,0.8,556,10.05.22
7,Schedule(MU),265.4,-138,-30.4,-98.9,1.7,3699,10.05.22
8,Actual(MU),260.4,-111.3,-62.2,-93.1,0.8,607,10.05.22
9,O/D/U/D(MU),-5,26.6,-31.8,5.8,-0.9,88,10.05.22
10,Central,3721,10910,6878,2830,575,265,10.05.22
11,State,6679,10568,7239,1550,47,2.16,10.05.22
12,Coal,741,1386,567,580,15,0,10.05.22
13,Lignite,18,16,53,0,0,-3.4,10.05.22
14,Hydro,246,34,64,56,11,-3.4,10.05.22
15,Nuclear,24,33,46,0,0,34936,10.05.22
0,Demand Met during Evening Peak hrs(MW),58763,61029,45941,25989,2805,34453,10.05.23
1,Peak Shortage (MW),120,0,0,347,45,2616,10.05.23
2,Energy Met (MU),1281,1436,1043,590,56,81,10.05.23
3,Hydro Gen (MU),176,41,62,58,9,608,10.05.23
4,Wind Gen (MU),16,60,27,-,-,135,10.05.23
5,Solar Gen (MU),147.26,70.35,126.14,6.21,1.24,190420,10.05.23
6,Energy Shortage (MU),3.51,0,1.68,3.22,1.62,317,10.05.23
7,Schedule(MU),213.5,-226.2,76.1,-70.9,7.5,4494,10.05.23
8,Actual(MU),199.9,-230.4,86.5,-72,6.9,408,10.05.23
9,O/D/U/D(MU),-13.7,-4.1,10.4,-1.2,-0.6,98,10.05.23
10,Central,4687,7907,5458,1590,460,301,10.05.23
11,State,6245,8772,3551,920,277,2.33,10.05.23
12,Coal,770,1529,683,689,14,0,10.05.23
13,Lignite,18,20,47,0,0,-4.8,10.05.23
14,Hydro,176,41,62,58,9,-4.8,10.05.23
15,Nuclear,25,46,52,0,0,23941,10.05.23
0,Demand Met during Evening Peak hrs(MW),42754,43909,37593,20452,2617,24223,10.06.18
1,Peak Shortage (MW),426,51,0,0,190,3687,10.06.18
2,Energy Met (MU),1151,1067,791,440,52,82,10.06.18
3,Hydro Gen (MU),312,13,34,74,18,408,10.06.18
4,Wind Gen (MU),38,144,189,----------,----------,149,10.06.18
5,Solar Gen (MU),15.39,16.01,37.37,0.73,0.02,128325,10.06.18
6,Energy Shortage (MU),10.5,0,0,0,1.2,62,10.06.18
7,Schedule(MU),246.3,-235.4,17,-33,5.8,3009,10.06.18
8,Actual(MU),260.7,-252.4,7.3,-23.3,7.1,275,10.06.18
9,O/D/U/D(MU),14.4,-17,-9.6,9.7,1.3,113,10.06.18
10,Central,5573,12184,8602,1850,217,150,10.06.18
11,State,7585,16058,8630,4795,50,1.3,10.06.18
12,Thermal (Coal & Lignite),492,1103,441,409,10,0,10.06.18
13,Hydro,312,13,35,74,18,-8.5,10.06.18
14,Nuclear,26,28,46,0,0,-8.5,10.06.18
15,"Gas, Naptha & Diesel",33,50,9,0,21,36027,10.06.18
0,Demand Met during Evening Peak hrs(MW),54835,47063,37481,20255,2602,52565,10.06.19
1,Peak Shortage (MW),872,0,0,0,26,2148,10.06.19
2,Energy Met (MU),1331,1200,905,467,48,67,10.06.19
3,Hydro Gen (MU),331,12,36,94,18,275,10.06.19
4,Wind Gen (MU),14,78,72,----------,----------,125,10.06.19
5,Solar Gen (MU),29.19,23.11,81.29,2.02,0.03,162161,10.06.19
6,Energy Shortage (MU),15.4,0,0,0,0.6,640,10.06.19
7,Schedule(MU),236.5,-239.8,70,-66,-0.8,3433,10.06.19
8,Actual(MU),229.3,-248.4,67.4,-55.1,-2.4,351,10.06.19
9,O/D/U/D(MU),-7.3,-8.6,-2.6,10.9,-1.6,117,10.06.19
10,Central,3464,14619,7432,2175,306,166,10.06.19
11,State,5760,11612,6150,2280,50,11.43,10.06.19
12,Coal,642,1256,507,464,9,0,10.06.19
13,Lignite,20,17,36,0,0,-4.5,10.06.19
14,Hydro,331,12,36,94,18,-4.5,10.06.19
15,Nuclear,27,30,56,0,0,35294,10.06.19
0,Demand Met during Evening Peak hrs(MW),52433,40472,37011,20438,2741,48629,10.06.20
1,Peak Shortage (MW),498,0,0,0,101,2583,10.06.20
2,Energy Met (MU),1188,997,931,452,51,66,10.06.20
3,Hydro Gen (MU),337,68,81,118,19,351,10.06.20
4,Wind Gen (MU),22,54,159,-,-,130,10.06.20
5,Solar Gen (MU),42.47,25.7,78.54,4.77,0.03,166203,10.06.20
6,Energy Shortage (MU),9.3,0,0,0,0.6,90,10.06.20
7,Schedule(MU),270,-265.2,123.2,-127.9,-0.2,3767,10.06.20
8,Actual(MU),268.7,-263.2,124.3,-133.7,-0.4,379,10.06.20
9,O/D/U/D(MU),-1.3,2,1.2,-5.8,-0.3,73,10.06.20
10,Central,4425,18123,12322,2220,407,241,10.06.20
11,State,14135,23305,14398,4482,11,2.54,10.06.20
12,Coal,428,980,350,494,11,0,10.06.20
13,Lignite,28,11,41,0,0,-5,10.06.20
14,Hydro,337,68,81,118,19,-5,10.06.20
15,Nuclear,28,36,47,0,0,32904,10.06.20
0,Demand Met during Evening Peak hrs(MW),55042,46234,37285,21907,2833,34874,10.06.21
1,Peak Shortage (MW),740,0,0,0,8,2937,10.06.21
2,Energy Met (MU),1357,1114,902,479,55,88,10.06.21
3,Hydro Gen (MU),326,46,58,100,26,373,10.06.21
4,Wind Gen (MU),62,165,216,-,-,132,10.06.21
5,Solar Gen (MU),50.54,33.2,94.04,4.9,0.26,166870,10.06.21
6,Energy Shortage (MU),3.55,0,0,0,0.04,863,10.06.21
7,Schedule(MU),347.1,-252.2,32.8,-123,-4.6,3602,10.06.21
8,Actual(MU),325.4,-246,34.5,-113,-3.2,286,10.06.21
9,O/D/U/D(MU),-21.7,6.2,1.7,10,1.5,141,10.06.21
10,Central,4906,19593,9742,200,772,171,10.06.21
11,State,10338,20375,12758,3787,11,15.98,10.06.21
12,Coal,530,1041,359,519,12,0,10.06.21
13,Lignite,21,10,50,0,0,-2.6,10.06.21
14,Hydro,326,46,58,100,26,-2.6,10.06.21
15,Nuclear,29,33,66,0,0,34342,10.06.21
0,Demand Met during Evening Peak hrs(MW),65934,57896,45008,23483,2962,46569,10.06.22
1,Peak Shortage (MW),190,0,0,394,0,2776,10.06.22
2,Energy Met (MU),1604,1428,1087,547,56,71,10.06.22
3,Hydro Gen (MU),301,26,65,113,32,286,10.06.22
4,Wind Gen (MU),71,120,194,-,-,130,10.06.22
5,Solar Gen (MU),109,51.58,105.54,6.34,0.45,171776,10.06.22
6,Energy Shortage (MU),21.37,0,0,4.37,0,1943,10.06.22
7,Schedule(MU),334.4,-192.3,-1.7,-135.2,-5.2,3856,10.06.22
8,Actual(MU),328.4,-201.7,0.6,-124.1,-8.5,287,10.06.22
9,O/D/U/D(MU),-6,-9.4,2.3,11.1,-3.3,119,10.06.22
10,Central,2558,9570,6138,2930,668,276,10.06.22
11,State,8610,10812,7010,2160,160,19.93,10.06.22
12,Coal,733,1383,578,590,14,0,10.06.22
13,Lignite,31,13,54,0,0,-4.2,10.06.22
14,Hydro,301,26,65,113,32,-4.2,10.06.22
15,Nuclear,13,34,67,0,0,32206,10.06.22
0,Demand Met during Evening Peak hrs(MW),63674,61067,46829,25305,3017,33866,10.06.23
1,Peak Shortage (MW),349,0,0,237,17,3085,10.06.23
2,Energy Met (MU),1526,1513,1152,600,58,53,10.06.23
3,Hydro Gen (MU),263,24,62,66,13,288,10.06.23
4,Wind Gen (MU),60,157,222,----------,-,105,10.06.23
5,Solar Gen (MU),131.55,66.71,124.85,2.96,0.84,159783,10.06.23
6,Energy Shortage (MU),5.14,0.08,0,2.17,1.18,1734,10.06.23
7,Schedule(MU),261.5,-229.5,19.2,-62.9,11.7,3547,10.06.23
8,Actual(MU),237.1,-228.1,35.6,-59.6,11.2,283,10.06.23
9,O/D/U/D(MU),-24.3,1.4,16.4,3.3,-0.5,88,10.06.23
10,Central,2309,9150,5978,930,818,159,10.06.23
11,State,5625,10648,5178,3470,286,14.59,10.06.23
12,Coal,819,1560,655,664,16,0,10.06.23
13,Lignite,24,19,57,0,0,-7.5,10.06.23
14,Hydro,263,24,62,70,13,-7.5,10.06.23
15,Nuclear,29,32,45,0,0,32423,10.06.23
0,Demand Met during Evening Peak hrs(MW),58546,43367,37761,19676,2598,42826,10.07.18
1,Peak Shortage (MW),1466,0,0,0,201,2778,10.07.18
2,Energy Met (MU),1408,1012,841,439,50,65,10.07.18
3,Hydro Gen (MU),328,14,53,96,26,283,10.07.18
4,Wind Gen (MU),34,112,218,----------,----------,99,10.07.18
5,Solar Gen (MU),16.05,14.07,34.2,0.73,0.02,156967,10.07.18
6,Energy Shortage (MU),18.8,0,0,0,1.6,577,10.07.18
7,Schedule(MU),329.7,-265.2,16.9,-76.4,-4.5,3407,10.07.18
8,Actual(MU),336.4,-267,1.3,-62.5,-6.1,227,10.07.18
9,O/D/U/D(MU),6.7,-1.8,-15.6,14,-1.6,157,10.07.18
10,Central,4147,15382,9262,1155,56,194,10.07.18
11,State,6115,17780,10230,7265,50,8.22,10.07.18
12,Thermal (Coal & Lignite),642,1074,440,428,9,0,10.07.18
13,Hydro,328,14,53,96,25,-3.3,10.07.18
14,Nuclear,27,30,45,0,0,-3.3,10.07.18
15,"Gas, Naptha & Diesel",40,50,24,0,24,32062,10.07.18
0,Demand Met during Evening Peak hrs(MW),54594,45581,40625,19591,2632,43475,10.07.19
1,Peak Shortage (MW),469,0,99,0,190,2610,10.07.19
2,Energy Met (MU),1258,1035,963,416,48,73,10.07.19
3,Hydro Gen (MU),341,16,36,124,28,227,10.07.19
4,Wind Gen (MU),64,153,205,----------,----------,119,10.07.19
5,Solar Gen (MU),22.31,19.2,66.78,1.71,0.01,175645,10.07.19
6,Energy Shortage (MU),9.9,0,0,0,2.2,519,10.07.19
7,Schedule(MU),281.3,-272.4,65.6,-66.2,-10.1,4019,10.07.19
8,Actual(MU),262.8,-265.6,93.3,-82.1,-10.8,271,10.07.19
9,O/D/U/D(MU),-18.5,6.8,27.8,-15.8,-0.7,92,10.07.19
10,Central,5510,17971,9652,2420,56,314,10.07.19
11,State,8675,18284,7720,4460,50,10.91,10.07.19
12,Coal,503,1016,429,397,8,0,10.07.19
13,Lignite,18,14,33,0,0,4,10.07.19
14,Hydro,341,17,36,124,28,4,10.07.19
15,Nuclear,27,29,23,0,0,30187,10.07.19
0,Demand Met during Evening Peak hrs(MW),57678,41124,35569,19810,2561,30211,10.07.20
1,Peak Shortage (MW),294,0,0,0,255,3308,10.07.20
2,Energy Met (MU),1378,981,810,436,47,94,10.07.20
3,Hydro Gen (MU),365,28,69,129,31,271,10.07.20
4,Wind Gen (MU),39,110,83,-,-,136,10.07.20
5,Solar Gen (MU),38.37,20.9,56.71,4.64,0.03,163289,10.07.20
6,Energy Shortage (MU),10.8,0,0,0,0,638,10.07.20
7,Schedule(MU),309.3,-284,116,-131.7,-9.5,3749,10.07.20
8,Actual(MU),314.9,-295.1,113.1,-123.6,-11.7,266,10.07.20
9,O/D/U/D(MU),5.7,-11.1,-2.9,8.2,-2.1,65,10.07.20
10,Central,4686,14769,10732,1920,546,181,10.07.20
11,State,8954,24446,13193,4842,47,13.88,10.07.20
12,Coal,545,993,380,473,8,0,10.07.20
13,Lignite,29,9,18,0,0,-8.8,10.07.20
14,Hydro,365,28,69,129,31,-8.8,10.07.20
15,Nuclear,26,32,46,0,0,27099,10.07.20
0,DemandMetduringEveningPeakhrs(MW),68018,51319,37260,23374,2969,39177,10.07.21
1,PeakShortage(MW),412,0,0,0,9,2980,10.07.21
2,EnergyMet(MU),1622,1217,879,505,56,78,10.07.21
3,HydroGen(MU),362,27,72,141,30,266,10.07.21
4,WindGen(MU),9,73,171,-,-,80,10.07.21
5,SolarGen(MU),52.32,32.97,74.2,4.79,0.14,175133,10.07.21
6,EnergyShortage(MU),19.16,0,0,0,0.08,783,10.07.21
0,Demand Met during Evening Peak hrs(MW),62448,46415,33856,25095,3026,3964,10.07.22
1,Peak Shortage (MW),0,0,0,143,53,287,10.07.22
2,Energy Met (MU),1440,1067,788,552,61,70,10.07.22
3,Hydro Gen (MU),339,20,80,106,30,234,10.07.22
4,Wind Gen (MU),12,187,274,-,-,13.45,10.07.22
5,Solar Gen (MU),86.15,33.29,58.38,4.82,0.71,0,10.07.22
6,Energy Shortage (MU),6.63,0,0,2.31,0.42,-4.6,10.07.22
7,Schedule(MU),301.4,-194.9,-39.6,-62,-4.9,-4.6,10.07.22
8,Actual(MU),316.5,-189.4,-78.2,-47.8,-7.3,28009,10.07.22
9,O/D/U/D(MU),15.1,5.5,-38.7,14.2,-2.3,39864,10.07.22
10,Central,3734,14006,8408,3215,309,3151,10.07.22
11,State,8535,18144,14515,2640,191,83,10.07.22
12,Coal,665,1003,325,516,14,287,10.07.22
13,Lignite,25,7,52,0,0,120,10.07.22
14,Hydro,344,20,80,106,30,181375,10.07.22
15,Nuclear,29,33,68,0,0,3199,10.07.22
0,Demand Met during Evening Peak hrs(MW),57721,54469,44813,27177,3239,4267,10.07.23
1,Peak Shortage (MW),450,0,0,0,0,340,10.07.23
2,Energy Met (MU),1246,1265,1098,603,62,106,10.07.23
3,Hydro Gen (MU),156,46,64,132,30,321,10.07.23
4,Wind Gen (MU),10,151,148,-,-,28.12,10.07.23
5,Solar Gen (MU),121.33,40.03,94.05,2.74,0.72,0,10.07.23
6,Energy Shortage (MU),3.96,0,0,1,0.93,-8.4,10.07.23
7,Schedule(MU),333,-299.5,86.3,-115.6,-4.2,-8.4,10.07.23
8,Actual(MU),308.2,-308,116.2,-119.9,-3.6,30578,10.07.23
9,O/D/U/D(MU),-24.7,-8.6,29.9,-4.2,0.6,31045,10.07.23
10,Central,9784,9711,7198,1210,330,3512,10.07.23
11,State,10345,15654,6543,2710,314,112,10.07.23
12,Coal,659,1377,625,657,16,340,10.07.23
13,Lignite,24,14,57,0,0,139,10.07.23
14,Hydro,156,46,64,132,30,176020,10.07.23
15,Nuclear,25,47,42,0,0,1287,10.07.23
0,Demand Met during Evening Peak hrs(MW),53300,46102,41257,21244,2749,4059,10.08.18
1,Peak Shortage (MW),1803,256,20,480,132,326,10.08.18
2,Energy Met (MU),1218,1082,934,456,53,86,10.08.18
3,Hydro Gen (MU),277,21,129,108,26,196,10.08.18
4,Wind Gen (MU),7,76,221,----------,----------,13.29,10.08.18
5,Solar Gen (MU),13.55,11.63,48.41,0.74,0.02,0,10.08.18
6,Energy Shortage (MU),10.8,0.3,0.1,1.4,1.1,-8.1,10.08.18
7,Schedule(MU),271.6,-233.1,13.9,-50.3,-1.9,-8.1,10.08.18
8,Actual(MU),273.3,-233.1,6,-37.8,-3.2,31440,10.08.18
9,O/D/U/D(MU),1.8,0,-7.9,12.5,-1.3,35835,10.08.18
10,Central,5950,16358,10222,1520,113,3188,10.08.18
11,State,8005,13476,9970,6725,50,74,10.08.18
12,Thermal (Coal & Lignite),604,1167,461,407,9,326,10.08.18
13,Hydro,277,22,129,108,26,88,10.08.18
14,Nuclear,27,27,24,0,0,177431,10.08.18
15,"Gas, Naptha & Diesel",25,41,22,0,25,165,10.08.18
0,Demand Met during Evening Peak hrs(MW),54193,41739,36708,21785,2841,4209,10.08.19
1,Peak Shortage (MW),1942,0,0,0,217,268,10.08.19
2,Energy Met (MU),1234,934,832,444,55,94,10.08.19
3,Hydro Gen (MU),289,61,109,115,26,249,10.08.19
4,Wind Gen (MU),21,156,197,----------,----------,5.57,10.08.19
5,Solar Gen (MU),23.9,6.49,52.08,2.05,0.05,0,10.08.19
6,Energy Shortage (MU),9,0,0,0,1.2,-4.8,10.08.19
7,Schedule(MU),292.9,-273,-7.6,-12.8,0.6,-4.8,10.08.19
8,Actual(MU),301.6,-304.1,-3.1,1.9,-0.3,27131,10.08.19
9,O/D/U/D(MU),8.7,-31.1,4.5,14.8,-0.9,28750,10.08.19
10,Central,4073,17463,9932,2355,637,3580,10.08.19
11,State,9265,19495,12420,7290,50,122,10.08.19
12,Coal,519,930,322,349,7,268,10.08.19
13,Lignite,19,14,44,0,0,144,10.08.19
14,Hydro,289,61,109,115,26,165623,10.08.19
15,Nuclear,27,29,54,0,0,399,10.08.19
0,Demand Met during Evening Peak hrs(MW),57784,40852,33918,20840,2743,3942,10.08.20
1,Peak Shortage (MW),550,0,0,0,6,252,10.08.20
2,Energy Met (MU),1371,956,838,452,52,118,10.08.20
3,Hydro Gen (MU),348,22,111,146,25,198,10.08.20
4,Wind Gen (MU),14,110,150,-,-,6.76,10.08.20
5,Solar Gen (MU),33.35,14.9,46.24,4.31,0.04,0,10.08.20
6,Energy Shortage (MU),1.7,0,0,0,0.1,-11.4,10.08.20
7,Schedule(MU),352.8,-331,89.2,-111.9,1,-11.4,10.08.20
8,Actual(MU),355.7,-344.3,77.3,-97.5,0.9,29459,10.08.20
9,O/D/U/D(MU),3,-13.3,-11.9,14.4,0,36125,10.08.20
10,Central,5619,15032,11962,3265,610,3162,10.08.20
11,State,10469,23194,15218,5452,47,68,10.08.20
12,Coal,533,1062,325,435,7,252,10.08.20
13,Lignite,24,9,30,0,0,107,10.08.20
14,Hydro,348,22,111,146,25,185943,10.08.20
15,Nuclear,21,33,48,0,0,1985,10.08.20
0,Demand Met during Evening Peak hrs(MW),62424,54666,43514,23480,2974,4430,10.08.21
1,Peak Shortage (MW),200,0,20,154,0,358,10.08.21
2,Energy Met (MU),1383,1304,1079,503,57,181,10.08.21
3,Hydro Gen (MU),382,32,179,113,29,256,10.08.21
4,Wind Gen (MU),54,91,154,-,-,40.52,10.08.21
5,Solar Gen (MU),54.99,27.98,86.3,4.89,0.18,0,10.08.21
6,Energy Shortage (MU),3.45,0,0.04,0.61,0,-0.9,10.08.21
7,Schedule(MU),233.4,-140.5,12.6,-99.6,-5.9,-0.9,10.08.21
8,Actual(MU),211.5,-140.8,12.7,-82.6,-6.3,23379,10.08.21
9,O/D/U/D(MU),-21.8,-0.3,0.1,17,-0.4,30013,10.08.21
10,Central,5312,16918,8732,700,409,3450,10.08.21
11,State,7455,15505,6935,3933,11,77,10.08.21
12,Coal,619,1239,532,495,12,358,10.08.21
13,Lignite,27,11,44,0,0,104,10.08.21
14,Hydro,382,32,179,113,29,192942,10.08.21
15,Nuclear,22,32,42,0,0,1314,10.08.21
0,Demand Met during Evening Peak hrs(MW),67219,49465,40552,23465,3374,4480,10.08.22
1,Peak Shortage (MW),273,0,0,639,0,317,10.08.22
2,Energy Met (MU),1552,1138,913,500,63,127,10.08.22
3,Hydro Gen (MU),339,78,179,132,31,343,10.08.22
4,Wind Gen (MU),16,111,267,-,-,17.62,10.08.22
5,Solar Gen (MU),117.59,34.2,92.36,3.94,0.48,0,10.08.22
6,Energy Shortage (MU),0.95,0,0,1.61,0,-9.9,10.08.22
7,Schedule(MU),334.9,-92.7,-109,-128,-5.2,-9.9,10.08.22
8,Actual(MU),335.5,-94.2,-119.4,-124.1,-6.3,21656,10.08.22
9,O/D/U/D(MU),0.6,-1.5,-10.3,3.9,-1.1,21686,10.08.22
10,Central,4262,16576,7548,2160,579,3745,10.08.22
11,State,6620,20806,11390,2825,109,92,10.08.22
12,Coal,755,974,370,541,15,317,10.08.22
13,Lignite,17,11,44,0,0,135,10.08.22
14,Hydro,342,78,179,132,31,142179,10.08.22
15,Nuclear,25,39,47,0,0,1239,10.08.22
0,Demand Met during Evening Peak hrs(MW),72269,58485,47036,24818,3369,3410,10.08.23
1,Peak Shortage (MW),3746,1636,1575,1307,43,482,10.08.23
2,Energy Met (MU),1678,1395,1205,564,65,118,10.08.23
3,Hydro Gen (MU),420,112,109,140,35,146,10.08.23
4,Wind Gen (MU),47,200,78,-,-,13.6,10.08.23
5,Solar Gen (MU),122.05,47.33,108.46,2.56,0.76,-0.1,10.08.23
6,Energy Shortage (MU),23.3,8.21,17.67,7.54,0.97,-1.4,10.08.23
7,Schedule(MU),242.8,-316.5,212.7,-131.2,-7.9,-1.3,10.08.23
8,Actual(MU),230.3,-361.4,233.4,-125.3,-8.8,33825,10.08.23
9,O/D/U/D(MU),-12.5,-44.9,20.7,5.9,-0.9,56594,10.08.23
10,Central,2710,12598,7258,4630,305,2339,10.08.23
11,State,5880,12870,6148,2520,152,72,10.08.23
12,Coal,852,1332,604,600,18,482,10.08.23
13,Lignite,27,7,45,0,0,107,10.08.23
14,Hydro,420,112,109,140,35,144806,10.08.23
15,Nuclear,29,50,70,0,0,206,10.08.23
0,Demand Met during Evening Peak hrs(MW),46329,43636,41730,20746,2412,3420,10.09.18
1,Peak Shortage (MW),466,125,225,404,247,350,10.09.18
2,Energy Met (MU),1030,1054,980,440,50,294,10.09.18
3,Hydro Gen (MU),345,64,162,116,24,165,10.09.18
4,Wind Gen (MU),13,52,41,----------,----------,4.05,10.09.18
5,Solar Gen (MU),17.2,11.9,59.29,0.46,0.02,0,10.09.18
6,Energy Shortage (MU),9.4,0.3,0.9,1.2,1.9,-2.4,10.09.18
7,Schedule(MU),184.4,-202.4,76.8,-61.2,5.7,-2.4,10.09.18
8,Actual(MU),164,-208.8,82.4,-55.5,3.5,34839,10.09.18
9,O/D/U/D(MU),-20.4,-6.4,5.6,5.7,-2.2,49434,10.09.18
10,Central,5476,16502,9882,1620,505,2365,10.09.18
11,State,11145,16904,7013,6905,50,70,10.09.18
12,Thermal (Coal & Lignite),453,1069,553,391,9,350,10.09.18
13,Hydro,345,66,162,116,24,123,10.09.18
14,Nuclear,18,27,19,0,0,189187,10.09.18
15,"Gas, Naptha & Diesel",24,49,20,0,18,314,10.09.18
0,Demand Met during Evening Peak hrs(MW),59790,43711,42190,22631,2770,4501,10.09.19
1,Peak Shortage (MW),1181,0,0,500,160,536,10.09.19
2,Energy Met (MU),1352,976,963,463,53,319,10.09.19
3,Hydro Gen (MU),363,114,176,143,20,249,10.09.19
4,Wind Gen (MU),8,66,186,----------,----------,4.62,10.09.19
5,Solar Gen (MU),30.6,11.98,76.18,1.96,0.02,0,10.09.19
6,Energy Shortage (MU),22.7,0,1.3,1.5,2.4,-7.3,10.09.19
7,Schedule(MU),310.9,-257.1,23.9,-80.4,9.4,-7.3,10.09.19
8,Actual(MU),304.4,-276.4,6,-50.2,8.3,23353,10.09.19
9,O/D/U/D(MU),-6.4,-19.2,-17.9,30.2,-1.1,30926,10.09.19
10,Central,3730,14440,8812,1545,736,3206,10.09.19
11,State,8630,19903,10773,6740,50,95,10.09.19
12,Coal,560,975,355,406,8,536,10.09.19
13,Lignite,23,9,44,0,0,104,10.09.19
14,Hydro,363,114,176,143,20,203267,10.09.19
15,Nuclear,27,31,61,0,0,314,10.09.19
0,Demand Met during Evening Peak hrs(MW),61826,47933,37165,22187,3031,4669,10.09.20
1,Peak Shortage (MW),593,0,0,90,7,384,10.09.20
2,Energy Met (MU),1376,1128,928,471,55,327,10.09.20
3,Hydro Gen (MU),327,81,76,145,20,339,10.09.20
4,Wind Gen (MU),6,16,73,-,-,15.23,10.09.20
5,Solar Gen (MU),39.92,26.92,89.74,4.44,0.11,0,10.09.20
6,Energy Shortage (MU),0,0,0,0.3,0.1,-4.3,10.09.20
7,Schedule(MU),328.3,-335.5,126.6,-124.6,5.1,-4.3,10.09.20
8,Actual(MU),330.1,-320.4,125.9,-136.9,6.8,20320,10.09.20
9,O/D/U/D(MU),1.8,15.1,-0.7,-12.3,1.6,23771,10.09.20
10,Central,3712,12658,11002,1815,596,3675,10.09.20
11,State,8639,18022,11282,5645,11,90,10.09.20
12,Coal,594,1221,439,484,9,381,10.09.20
13,Lignite,25,9,22,0,0,124,10.09.20
14,Hydro,327,81,77,145,20,157896,10.09.20
15,Nuclear,26,21,67,0,0,526,10.09.20
0,Demand Met during Evening Peak hrs(MW),56205,45621,38729,24145,3075,3688,10.09.21
1,Peak Shortage (MW),200,0,0,139,3,638,10.09.21
2,Energy Met (MU),1292,1054,934,528,59,282,10.09.21
3,Hydro Gen (MU),320,26,107,144,34,129,10.09.21
4,Wind Gen (MU),7,92,192,-,-,10.6,10.09.21
5,Solar Gen (MU),50.27,25.88,98.61,4.31,0.33,0,10.09.21
6,Energy Shortage (MU),7.45,0,0,1.43,0.04,-1,10.09.21
7,Schedule(MU),295.7,-124.8,-27,-135.7,-8.2,-1,10.09.21
8,Actual(MU),282.7,-124.4,-31.2,-121.3,-9.5,32921,10.09.21
9,O/D/U/D(MU),-13,0.5,-4.2,14.4,-1.3,51592,10.09.21
10,Central,5640,18395,8222,1715,409,2275,10.09.21
11,State,9430,21802,10418,3855,11,82,10.09.21
12,Coal,552,993,426,527,13,638,10.09.21
13,Lignite,24,10,45,0,0,110,10.09.21
14,Hydro,320,26,107,144,34,163996,10.09.21
15,Nuclear,26,28,65,0,0,378,10.09.21
0,Demand Met during Evening Peak hrs(MW),71791,51708,39172,24762,3116,3773,10.09.22
1,Peak Shortage (MW),204,0,0,554,0,631,10.09.22
2,Energy Met (MU),1693,1252,865,554,61,368,10.09.22
3,Hydro Gen (MU),362,102,171,152,32,175,10.09.22
4,Wind Gen (MU),4,27,204,-,-,4.35,10.09.22
5,Solar Gen (MU),105.32,41.75,77,4.25,0.88,0,10.09.22
6,Energy Shortage (MU),2.31,0,0,1.3,0.02,-8.2,10.09.22
7,Schedule(MU),418.5,-130,-122,-158.1,-8.5,-8.2,10.09.22
8,Actual(MU),432.2,-127.3,-133,-164.4,-10.5,35914,10.09.22
9,O/D/U/D(MU),13.7,2.7,-11,-6.3,-2,47959,10.09.22
10,Central,3502,10889,6558,1870,309,2344,10.09.22
11,State,6775,17131,10697,2900,178,88,10.09.22
12,Coal,802,1191,444,590,17,631,10.09.22
13,Lignite,31,7,43,0,0,123,10.09.22
14,Hydro,362,102,171,152,32,191765,10.09.22
15,Nuclear,33,38,42,0,0,1408,10.09.22
0,Demand Met during Evening Peak hrs(MW),65090,56261,41879,27001,3461,4514,10.09.23
1,Peak Shortage (MW),0,0,0,79,11,542,10.09.23
2,Energy Met (MU),1469,1330,1035,591,66,279,10.09.23
3,Hydro Gen (MU),322,27,47,122,32,261,10.09.23
4,Wind Gen (MU),21,231,249,-,-,23.06,10.09.23
5,Solar Gen (MU),126.87,47.47,98.49,2.6,0.98,0,10.09.23
6,Energy Shortage (MU),0.24,0,0,0.56,1.48,-4.3,10.09.23
7,Schedule(MU),371,-271.2,7.2,-103.7,-3.3,-4.3,10.09.23
8,Actual(MU),335.8,-261.4,12.1,-89.9,0.7,24933,10.09.23
9,O/D/U/D(MU),-35.2,9.8,4.9,13.9,4,30628,10.09.23
10,Central,3883,9936,3748,1000,355,3223,10.09.23
11,State,7101,11454,6622,3329,155,101,10.09.23
12,Coal,659,1295,551,621,12,544,10.09.23
13,Lignite,25,13,42,0,0,119,10.09.23
