,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
0,Demand Met during Evening Peak hrs(MW),70987,53089,43960,27444,3173,,22.07.23,198653
1,Peak Shortage (MW),25,0,0,113,36,,22.07.23,174
2,Energy Met (MU),1617,1253,1034,590,66,,22.07.23,4560
3,Hydro Gen (MU),374,57,64,137,29,,22.07.23,662
4,Wind Gen (MU),7,129,298,-,-,,22.07.23,433
5,Solar Gen (MU),108.18,31.09,82.55,2.64,1.11,,22.07.23,226
6,Energy Shortage (MU),0.34,0.37,0.00,3.22,0.61,,22.07.23,4.54
7,Schedule(MU),378.1,-284.8,-8.0,-83.6,-1.7,,22.07.23,0.0
8,Actual(MU),372.1,-286.1,-6.3,-86.4,-0.5,,22.07.23,-7.3
9,O/D/U/D(MU),-6.0,-1.3,1.7,-2.9,1.3,,22.07.23,-7.3
10,Central,2886,11214,6218,2380,271,,22.07.23,22969
11,State,6685,14616,7703,3120,241,,22.07.23,32364
12,Coal,747,1351,522,604,14,,22.07.23,3238
13,Lignite,29,10,53,0,0,,22.07.23,92
14,Hydro,374,57,64,137,29,,22.07.23,662
15,Nuclear,29,52,50,0,0,,22.07.23,131
0,Demand Met during Evening Peak hrs(MW),71152,59318,48544,24980,2947,,22.08.23,206941
1,Peak Shortage (MW),280,414,554,1290,204,,22.08.23,2742
2,Energy Met (MU),1722,1445,1218,586,60,,22.08.23,5031
3,Hydro Gen (MU),419,119,115,141,36,,22.08.23,830
4,Wind Gen (MU),42,149,83,-,-,,22.08.23,274
5,Solar Gen (MU),132.93,42.98,116.67,4.91,0.29,,22.08.23,298
6,Energy Shortage (MU),20.26,4.63,12.20,9.66,1.46,,22.08.23,48.21
7,Schedule(MU),270.1,-325.2,175.0,-106.2,-12.9,,22.08.23,0.8
8,Actual(MU),227.2,-333.2,215.7,-102.7,-13.0,,22.08.23,-5.9
9,O/D/U/D(MU),-42.8,-8.0,40.7,3.6,-0.1,,22.08.23,-6.6
10,Central,1362,11864,6168,2910,255,,22.08.23,22558
11,State,4670,11038,7318,3860,181,,22.08.23,27066
12,Coal,866,1459,651,612,17,,22.08.23,3606
13,Lignite,26,7,46,0,0,,22.08.23,80
14,Hydro,419,119,115,141,36,,22.08.23,830
15,Nuclear,29,51,46,0,0,,22.08.23,126
0,Demand Met during Evening Peak hrs(MW),70888,55353,45890,22997,2905,,22.09.23,198033
1,Peak Shortage (MW),0,0,0,89,310,,22.09.23,399
2,Energy Met (MU),1555,1285,1147,510,59,,22.09.23,4556
3,Hydro Gen (MU),292,93,73,121,33,,22.09.23,611
4,Wind Gen (MU),15,70,64,-,-,,22.09.23,149
5,Solar Gen (MU),130.74,46.83,97.85,4.06,0.89,,22.09.23,280
6,Energy Shortage (MU),0.83,0.00,0.00,0.21,1.47,,22.09.23,2.51
7,Schedule(MU),343.1,-290.7,172.9,-218.2,-7.1,,22.09.23,0.0
8,Actual(MU),329.3,-314.8,215.6,-229.8,-6.4,,22.09.23,-6.0
9,O/D/U/D(MU),-13.8,-24.1,42.8,-11.7,0.7,,22.09.23,-6.0
10,Central,3809,9264,4668,0,505,,22.09.23,18245
11,State,5646,13569,5652,2990,228,,22.09.23,28085
12,Coal,784,1378,637,685,13,,22.09.23,3496
13,Lignite,26,13,32,0,0,,22.09.23,72
14,Hydro,292,93,73,121,33,,22.09.23,611
15,Nuclear,29,53,76,0,0,,22.09.23,159
0,Demand Met during Evening Peak hrs(MW),49875,61119,47304,21285,2630,,22.10.23,182213
1,Peak Shortage (MW),0,0,0,0,0,,22.10.23,0
2,Energy Met (MU),1103,1508,1178,458,51,,22.10.23,4298
3,Hydro Gen (MU),162,41,54,50,21,,22.10.23,327
4,Wind Gen (MU),12,37,28,-,-,,22.10.23,77
5,Solar Gen (MU),113.50,63.35,118.96,2.81,1.29,,22.10.23,300
6,Energy Shortage (MU),0.25,0.00,0.00,0.00,0.00,,22.10.23,0.25
7,Schedule(MU),162.2,-169.2,152.1,-146.3,-10.8,,22.10.23,-12.0
8,Actual(MU),159.4,-124.7,167.9,-201.1,-6.9,,22.10.23,-5.4
9,O/D/U/D(MU),-2.8,44.5,15.8,-54.8,3.9,,22.10.23,6.6
10,Central,4784,8442,3508,4126,235,,22.10.23,21094
11,State,6361,9938,4169,1880,121,,22.10.23,22469
12,Coal,664,1536,726,667,14,,22.10.23,3608
13,Lignite,23,19,58,0,0,,22.10.23,100
14,Hydro,162,41,54,50,21,,22.10.23,327
15,Nuclear,25,54,71,0,0,,22.10.23,150
0,Demand Met during Evening Peak hrs(MW),48923,56478,43308,22429,2005,,23.04.23,173143
1,Peak Shortage (MW),0,0,0,0,34,,23.04.23,34
2,Energy Met (MU),1075,1362,1112,496,39,,23.04.23,4084
3,Hydro Gen (MU),173,19,53,43,10,,23.04.23,297
4,Wind Gen (MU),26,95,38,-,-,,23.04.23,159
5,Solar Gen (MU),142.63,63.33,127.91,5.15,0.52,,23.04.23,340
6,Energy Shortage (MU),0.15,0.00,0.00,0.04,1.26,,23.04.23,1.45
7,Schedule(MU),79.9,-186.3,177.6,-65.0,-6.2,,23.04.23,0.0
8,Actual(MU),42.5,-165.6,186.4,-63.9,-4.8,,23.04.23,-5.3
9,O/D/U/D(MU),-37.4,20.7,8.9,1.1,1.4,,23.04.23,-5.3
10,Central,3487,9741,4248,1550,425,,23.04.23,19451
11,State,6590,10212,3148,2390,247,,23.04.23,22586
12,Coal,676,1378,658,601,11,,23.04.23,3324
13,Lignite,21,16,40,0,0,,23.04.23,77
14,Hydro,173,19,53,43,10,,23.04.23,297
15,Nuclear,30,36,45,0,0,,23.04.23,111
0,Demand Met during Evening Peak hrs(MW),63301,63142,48358,21965,2554,,23.05.23,199320
1,Peak Shortage (MW),82,0,0,116,13,,23.05.23,211
2,Energy Met (MU),1559,1498,1158,533,52,,23.05.23,4799
3,Hydro Gen (MU),277,46,61,55,12,,23.05.23,451
4,Wind Gen (MU),44,156,51,-,-,,23.05.23,250
5,Solar Gen (MU),133.91,64.58,125.83,4.87,1.07,,23.05.23,330
6,Energy Shortage (MU),1.79,0.65,0.00,5.11,1.01,,23.05.23,8.56
7,Schedule(MU),284.0,-305.3,131.3,-111.5,1.5,,23.05.23,0.0
8,Actual(MU),265.1,-306.4,152.2,-123.1,3.4,,23.05.23,-8.9
9,O/D/U/D(MU),-18.9,-1.1,20.9,-11.6,1.9,,23.05.23,-8.9
10,Central,2175,5117,6288,480,434,,23.05.23,14494
11,State,5255,12650,2408,2990,363,,23.05.23,23666
12,Coal,834,1569,729,679,16,,23.05.23,3826
13,Lignite,17,19,41,0,0,,23.05.23,78
14,Hydro,277,46,61,55,12,,23.05.23,451
15,Nuclear,29,38,46,0,0,,23.05.23,113
0,Demand Met during Evening Peak hrs(MW),70144,53268,41060,27555,3178,,23.07.23,195205
1,Peak Shortage (MW),230,0,0,571,14,,23.07.23,815
2,Energy Met (MU),1585,1218,978,601,62,,23.07.23,4444
3,Hydro Gen (MU),381,65,71,141,31,,23.07.23,689
4,Wind Gen (MU),21,103,285,-,-,,23.07.23,410
5,Solar Gen (MU),118.26,37.98,76.87,2.59,0.97,,23.07.23,237
6,Energy Shortage (MU),0.94,0.00,0.00,2.78,0.49,,23.07.23,4.21
7,Schedule(MU),345.9,-247.7,-17.5,-74.7,-6.0,,23.07.23,0.0
8,Actual(MU),322.6,-233.2,-35.6,-55.7,-5.9,,23.07.23,-7.8
9,O/D/U/D(MU),-23.3,14.5,-18.1,19.0,0.1,,23.07.23,-7.8
10,Central,2946,11546,6518,2360,271,,23.07.23,23641
11,State,6645,15201,9103,3480,175,,23.07.23,34603
12,Coal,723,1279,496,579,14,,23.07.23,3090
13,Lignite,27,10,50,0,0,,23.07.23,87
14,Hydro,381,65,71,141,31,,23.07.23,689
15,Nuclear,29,52,60,0,0,,23.07.23,141
0,Demand Met during Evening Peak hrs(MW),67842,60287,50706,25520,3049,,23.08.23,207404
1,Peak Shortage (MW),75,227,0,0,223,,23.08.23,525
2,Energy Met (MU),1558,1440,1269,570,61,,23.08.23,4898
3,Hydro Gen (MU),392,109,80,137,39,,23.08.23,758
4,Wind Gen (MU),85,212,116,-,-,,23.08.23,414
5,Solar Gen (MU),124.87,41.47,115.17,2.22,0.79,,23.08.23,285
6,Energy Shortage (MU),2.08,1.70,0.00,0.64,1.14,,23.08.23,5.56
7,Schedule(MU),225.7,-328.8,228.1,-109.5,-15.5,,23.08.23,0.0
8,Actual(MU),183.5,-327.6,261.6,-115.4,-13.8,,23.08.23,-11.7
9,O/D/U/D(MU),-42.2,1.2,33.5,-5.8,1.7,,23.08.23,-11.7
10,Central,2313,10960,5718,2860,255,,23.08.23,22105
11,State,5025,12479,5928,3850,195,,23.08.23,27476
12,Coal,747,1403,645,605,15,,23.08.23,3414
13,Lignite,26,10,46,0,0,,23.08.23,82
14,Hydro,392,109,80,137,39,,23.08.23,758
15,Nuclear,29,51,47,0,0,,23.08.23,127
0,Demand Met during Evening Peak hrs(MW),66290,54068,45342,22854,2898,,23.09.23,191452
1,Peak Shortage (MW),0,0,0,0,331,,23.09.23,331
2,Energy Met (MU),1442,1271,1124,505,60,,23.09.23,4403
3,Hydro Gen (MU),285,112,59,136,30,,23.09.23,624
4,Wind Gen (MU),17,73,99,-,-,,23.09.23,189
5,Solar Gen (MU),129.56,46.85,113.96,4.33,1.01,,23.09.23,296
6,Energy Shortage (MU),0.46,0.00,0.00,0.59,1.17,,23.09.23,2.22
7,Schedule(MU),294.8,-246.1,152.4,-196.2,-4.9,,23.09.23,0.0
8,Actual(MU),274.8,-253.4,184.8,-203.2,-2.7,,23.09.23,0.3
9,O/D/U/D(MU),-20.0,-7.3,32.4,-7.0,2.2,,23.09.23,0.3
10,Central,4562,11264,5968,460,505,,23.09.23,22758
11,State,5586,13541,5652,3860,219,,23.09.23,28858
12,Coal,743,1321,608,634,13,,23.09.23,3319
13,Lignite,28,14,33,0,0,,23.09.23,74
14,Hydro,285,112,59,136,30,,23.09.23,624
15,Nuclear,29,53,76,0,0,,23.09.23,158
0,Demand Met during Evening Peak hrs(MW),51659,61443,45259,20003,2536,,23.10.23,180900
1,Peak Shortage (MW),50,0,0,0,0,,23.10.23,50
2,Energy Met (MU),1126,1514,1132,444,48,,23.10.23,4264
3,Hydro Gen (MU),164,40,50,46,21,,23.10.23,320
4,Wind Gen (MU),10,43,35,-,-,,23.10.23,88
5,Solar Gen (MU),123.40,64.17,120.27,2.63,0.96,,23.10.23,311
6,Energy Shortage (MU),0.21,0.00,0.00,0.00,0.00,,23.10.23,0.21
7,Schedule(MU),149.9,-130.0,137.8,-154.2,-9.1,,23.10.23,-5.5
8,Actual(MU),147.4,-90.6,144.4,-196.8,-7.2,,23.10.23,-2.8
9,O/D/U/D(MU),-2.5,39.3,6.7,-42.6,1.9,,23.10.23,2.8
10,Central,4984,9142,3508,3966,235,,23.10.23,21834
11,State,5861,10205,4491,1880,121,,23.10.23,22557
12,Coal,692,1511,696,655,12,,23.10.23,3566
13,Lignite,24,19,57,0,0,,23.10.23,100
14,Hydro,164,40,50,46,21,,23.10.23,320
15,Nuclear,21,54,71,0,0,,23.10.23,146
0,Demand Met during Evening Peak hrs(MW),50735,59292,48950,22400,2604,,24.04.23,183981
1,Peak Shortage (MW),0,0,0,81,63,,24.04.23,144
2,Energy Met (MU),1113,1428,1178,483,45,,24.04.23,4247
3,Hydro Gen (MU),163,33,70,40,10,,24.04.23,315
4,Wind Gen (MU),18,58,32,-,-,,24.04.23,108
5,Solar Gen (MU),141.76,64.47,126.17,5.53,1.38,,24.04.23,339
6,Energy Shortage (MU),0.26,0.00,0.00,0.87,1.40,,24.04.23,2.53
7,Schedule(MU),87.0,-173.5,193.9,-103.9,-3.6,,24.04.23,0.0
8,Actual(MU),58.6,-155.3,213.3,-118.8,-2.0,,24.04.23,-4.1
9,O/D/U/D(MU),-28.4,18.2,19.4,-14.9,1.6,,24.04.23,-4.1
10,Central,4187,8111,3538,1550,425,,24.04.23,17811
11,State,5690,11390,3568,1290,245,,24.04.23,22183
12,Coal,715,1474,682,642,13,,24.04.23,3526
13,Lignite,23,19,52,0,0,,24.04.23,94
14,Hydro,163,33,70,40,10,,24.04.23,315
15,Nuclear,30,36,45,0,0,,24.04.23,111
0,Demand Met during Evening Peak hrs(MW),58560,62910,48618,24787,2834,,24.05.23,197709
1,Peak Shortage (MW),80,0,0,4,6,,24.05.23,90
2,Energy Met (MU),1332,1504,1170,533,50,,24.05.23,4589
3,Hydro Gen (MU),283,46,60,47,11,,24.05.23,447
4,Wind Gen (MU),48,202,100,-,-,,24.05.23,351
5,Solar Gen (MU),127.96,65.43,127.98,5.31,0.74,,24.05.23,327
6,Energy Shortage (MU),0.15,0.00,0.00,2.36,1.08,,24.05.23,3.59
7,Schedule(MU),207.4,-254.4,125.4,-80.1,1.8,,24.05.23,0.0
8,Actual(MU),157.5,-257.1,153.8,-63.5,5.3,,24.05.23,-4.1
9,O/D/U/D(MU),-49.9,-2.7,28.4,16.6,3.6,,24.05.23,-4.1
10,Central,3599,8626,5748,2300,434,,24.05.23,20706
11,State,7795,13005,2198,2000,277,,24.05.23,25274
12,Coal,712,1453,693,626,12,,24.05.23,3496
13,Lignite,16,20,38,0,0,,24.05.23,74
14,Hydro,283,46,60,47,11,,24.05.23,447
15,Nuclear,30,36,46,0,0,,24.05.23,111
0,Demand Met during Evening Peak hrs(MW),72024,55187,44838,25702,3239,,24.06.23,200990
1,Peak Shortage (MW),75,0,0,111,23,,24.06.23,209
2,Energy Met (MU),1690,1368,1062,575,62,,24.06.23,4756
3,Hydro Gen (MU),393,31,40,98,27,,24.06.23,589
4,Wind Gen (MU),42,105,206,-,-,,24.06.23,352
5,Solar Gen (MU),138.65,42.09,87.88,2.28,1.27,,24.06.23,272
6,Energy Shortage (MU),0.95,0.14,0.00,0.35,1.14,,24.06.23,2.58
7,Schedule(MU),330.9,-226.0,26.4,-131.9,0.6,,24.06.23,0.0
8,Actual(MU),292.1,-229.2,32.4,-109.5,4.3,,24.06.23,-9.9
9,O/D/U/D(MU),-38.8,-3.2,6.1,22.4,3.8,,24.06.23,-9.8
10,Central,925,7195,5998,1460,1118,,24.06.23,16696
11,State,4215,11020,5368,1550,251,,24.06.23,22404
12,Coal,804,1433,629,645,14,,24.06.23,3525
13,Lignite,29,17,56,0,0,,24.06.23,103
14,Hydro,393,31,40,98,27,,24.06.23,589
15,Nuclear,29,46,51,0,0,,24.06.23,127
0,Demand Met during Evening Peak hrs(MW),74793,55077,42620,27674,3309,,24.07.23,203473
1,Peak Shortage (MW),752,0,0,587,63,,24.07.23,1402
2,Energy Met (MU),1702,1266,987,629,63,,24.07.23,4647
3,Hydro Gen (MU),406,69,94,137,31,,24.07.23,736
4,Wind Gen (MU),9,129,263,-,-,,24.07.23,401
5,Solar Gen (MU),111.11,43.84,66.47,2.55,0.91,,24.07.23,225
6,Energy Shortage (MU),5.05,0.00,0.00,5.28,0.50,,24.07.23,10.83
7,Schedule(MU),381.3,-266.1,-22.6,-87.8,-4.7,,24.07.23,0.0
8,Actual(MU),378.9,-267.6,-35.9,-82.3,-3.5,,24.07.23,-10.4
9,O/D/U/D(MU),-2.3,-1.4,-13.4,5.5,1.2,,24.07.23,-10.4
10,Central,3076,10746,6088,2360,326,,24.07.23,22596
11,State,6110,15701,9123,2640,175,,24.07.23,33748
12,Coal,793,1330,514,634,13,,24.07.23,3284
13,Lignite,25,9,53,0,0,,24.07.23,88
14,Hydro,406,69,94,137,31,,24.07.23,736
15,Nuclear,29,49,61,0,0,,24.07.23,139
0,Demand Met during Evening Peak hrs(MW),70680,60623,49775,25017,2917,,24.08.23,209012
1,Peak Shortage (MW),215,0,0,319,352,,24.08.23,886
2,Energy Met (MU),1557,1459,1278,547,61,,24.08.23,4902
3,Hydro Gen (MU),389,103,80,134,39,,24.08.23,744
4,Wind Gen (MU),71,212,156,-,-,,24.08.23,439
5,Solar Gen (MU),122.01,44.01,123.96,1.55,0.61,,24.08.23,292
6,Energy Shortage (MU),1.67,0.00,0.00,1.43,3.13,,24.08.23,6.23
7,Schedule(MU),244.1,-300.2,200.5,-127.7,-16.7,,24.08.23,0.0
8,Actual(MU),212.7,-304.9,228.5,-129.9,-12.0,,24.08.23,-5.6
9,O/D/U/D(MU),-31.4,-4.8,28.0,-2.2,4.8,,24.08.23,-5.6
10,Central,2263,11010,5718,3210,305,,24.08.23,22506
11,State,4095,11944,6078,3250,129,,24.08.23,25496
12,Coal,746,1381,640,605,13,,24.08.23,3385
13,Lignite,27,11,50,0,0,,24.08.23,88
14,Hydro,389,103,80,134,39,,24.08.23,744
15,Nuclear,29,51,46,0,0,,24.08.23,127
0,Demand Met during Evening Peak hrs(MW),61718,53465,42380,23253,2979,,24.09.23,183795
1,Peak Shortage (MW),0,0,0,53,5,,24.09.23,58
2,Energy Met (MU),1342,1253,1045,498,60,,24.09.23,4198
3,Hydro Gen (MU),271,111,48,129,31,,24.09.23,589
4,Wind Gen (MU),16,67,150,-,-,,24.09.23,232
5,Solar Gen (MU),124.95,48.26,101.63,1.70,1.20,,24.09.23,278
6,Energy Shortage (MU),0.73,0.00,0.00,1.01,0.14,,24.09.23,1.88
7,Schedule(MU),268.0,-206.4,107.8,-165.3,-4.1,,24.09.23,0.0
8,Actual(MU),257.1,-209.6,121.8,-172.1,-2.0,,24.09.23,-4.8
9,O/D/U/D(MU),-10.9,-3.3,13.8,-6.8,2.1,,24.09.23,-4.8
10,Central,4562,10464,5118,250,505,,24.09.23,20898
11,State,4736,13751,6012,4110,219,,24.09.23,28828
12,Coal,676,1251,551,601,11,,24.09.23,3090
13,Lignite,28,14,38,0,0,,24.09.23,80
14,Hydro,271,111,48,129,31,,24.09.23,589
15,Nuclear,25,54,76,0,0,,24.09.23,154
0,Demand Met during Evening Peak hrs(MW),45392,55136,48078,18827,2458,,24.10.23,169891
1,Peak Shortage (MW),0,0,0,0,0,,24.10.23,0
2,Energy Met (MU),1079,1425,1151,442,45,,24.10.23,4142
3,Hydro Gen (MU),164,37,48,45,20,,24.10.23,314
4,Wind Gen (MU),9,36,26,-,-,,24.10.23,70
5,Solar Gen (MU),119.36,63.34,124.41,5.70,0.65,,24.10.23,313
6,Energy Shortage (MU),0.17,0.00,0.00,0.00,0.00,,24.10.23,0.17
7,Schedule(MU),131.6,-153.9,162.4,-126.9,-13.2,,24.10.23,0.0
8,Actual(MU),123.0,-119.4,182.5,-178.0,-8.2,,24.10.23,-0.1
9,O/D/U/D(MU),-8.6,34.4,20.1,-51.1,5.0,,24.10.23,-0.1
10,Central,5484,7775,3718,3626,235,,24.10.23,20837
11,State,5236,10180,4881,2480,121,,24.10.23,22897
12,Coal,675,1463,684,628,12,,24.10.23,3461
13,Lignite,25,17,56,0,0,,24.10.23,98
14,Hydro,164,37,48,45,20,,24.10.23,314
15,Nuclear,20,53,71,0,0,,24.10.23,144
0,Demand Met during Evening Peak hrs(MW),55670,59593,45702,24102,2741,,25.04.23,187808
1,Peak Shortage (MW),0,0,0,248,46,,25.04.23,294
2,Energy Met (MU),1160,1453,1177,495,50,,25.04.23,4335
3,Hydro Gen (MU),166,26,69,33,10,,25.04.23,303
4,Wind Gen (MU),14,81,32,-,-,,25.04.23,126
5,Solar Gen (MU),140.51,64.60,109.55,2.72,1.35,,25.04.23,319
6,Energy Shortage (MU),0.37,0.00,0.00,0.90,1.41,,25.04.23,2.68
7,Schedule(MU),124.8,-175.4,178.0,-128.6,1.2,,25.04.23,0.0
8,Actual(MU),103.5,-153.7,186.4,-144.5,2.0,,25.04.23,-6.3
9,O/D/U/D(MU),-21.3,21.7,8.4,-16.0,0.9,,25.04.23,-6.3
10,Central,5112,8711,3538,890,425,,25.04.23,18676
11,State,4460,10900,2986,1290,309,,25.04.23,19944
12,Coal,723,1493,715,691,14,,25.04.23,3637
13,Lignite,26,19,60,0,0,,25.04.23,105
14,Hydro,166,26,69,33,10,,25.04.23,303
15,Nuclear,29,37,45,0,0,,25.04.23,111
0,Demand Met during Evening Peak hrs(MW),52496,62485,47563,19348,3109,,25.05.23,185001
1,Peak Shortage (MW),65,0,0,0,18,,25.05.23,83
2,Energy Met (MU),1220,1484,1166,523,55,,25.05.23,4448
3,Hydro Gen (MU),271,32,54,63,12,,25.05.23,432
4,Wind Gen (MU),65,233,144,-,-,,25.05.23,443
5,Solar Gen (MU),131.44,64.73,123.61,5.17,1.16,,25.05.23,326
6,Energy Shortage (MU),0.15,0.00,0.00,5.12,1.11,,25.05.23,6.38
7,Schedule(MU),138.0,-215.7,135.7,-65.3,7.3,,25.05.23,0.0
8,Actual(MU),86.5,-203.8,162.8,-61.1,11.4,,25.05.23,-4.2
9,O/D/U/D(MU),-51.4,11.9,27.1,4.2,4.1,,25.05.23,-4.2
10,Central,4649,8726,5538,1430,459,,25.05.23,20801
11,State,6840,12998,4228,1590,277,,25.05.23,25932
12,Coal,670,1396,644,600,11,,25.05.23,3321
13,Lignite,17,19,43,0,0,,25.05.23,79
14,Hydro,271,32,54,63,12,,25.05.23,432
15,Nuclear,30,38,46,0,0,,25.05.23,114
0,Demand Met during Evening Peak hrs(MW),60815,52460,42527,24889,3104,,25.06.23,183795
1,Peak Shortage (MW),0,0,0,0,13,,25.06.23,13
2,Energy Met (MU),1402,1261,992,553,64,,25.06.23,4272
3,Hydro Gen (MU),389,30,37,85,19,,25.06.23,560
4,Wind Gen (MU),31,88,152,-,-,,25.06.23,272
5,Solar Gen (MU),124.64,40.32,94.16,1.77,1.14,,25.06.23,262
6,Energy Shortage (MU),0.00,0.00,0.00,0.75,1.27,,25.06.23,2.02
7,Schedule(MU),228.0,-185.5,26.0,-76.7,8.1,,25.06.23,0.0
8,Actual(MU),174.9,-178.1,48.2,-64.6,13.2,,25.06.23,-6.3
9,O/D/U/D(MU),-53.1,7.4,22.2,12.0,5.1,,25.06.23,-6.3
10,Central,3860,9461,5498,800,818,,25.06.23,20437
11,State,6455,12285,5740,2610,241,,25.06.23,27331
12,Coal,675,1327,597,603,12,,25.06.23,3213
13,Lignite,28,15,55,0,0,,25.06.23,97
14,Hydro,389,30,37,85,19,,25.06.23,560
15,Nuclear,29,47,51,0,0,,25.06.23,128
0,Demand Met during Evening Peak hrs(MW),73381,56624,42624,26748,3399,,25.07.23,202776
1,Peak Shortage (MW),335,471,0,523,31,,25.07.23,1360
2,Energy Met (MU),1678,1294,941,619,66,,25.07.23,4598
3,Hydro Gen (MU),408,64,84,129,30,,25.07.23,715
4,Wind Gen (MU),7,123,245,-,-,,25.07.23,374
5,Solar Gen (MU),80.37,39.78,59.97,2.41,0.97,,25.07.23,184
6,Energy Shortage (MU),1.10,1.35,0.00,3.70,0.52,,25.07.23,6.67
7,Schedule(MU),397.9,-262.6,-36.6,-95.3,-3.5,,25.07.23,0.0
8,Actual(MU),395.6,-256.1,-52.3,-92.1,-1.6,,25.07.23,-6.4
9,O/D/U/D(MU),-2.3,6.6,-15.7,3.2,1.9,,25.07.23,-6.4
10,Central,3286,11071,5938,3360,326,,25.07.23,23981
11,State,7315,13613,8273,2250,175,,25.07.23,31626
12,Coal,769,1356,532,639,15,,25.07.23,3310
13,Lignite,29,10,53,0,0,,25.07.23,92
14,Hydro,408,64,84,129,30,,25.07.23,715
15,Nuclear,29,52,59,0,0,,25.07.23,140
0,Demand Met during Evening Peak hrs(MW),72003,60549,49403,24334,3121,,25.08.23,209410
1,Peak Shortage (MW),231,24,0,201,150,,25.08.23,606
2,Energy Met (MU),1584,1462,1299,533,62,,25.08.23,4940
3,Hydro Gen (MU),392,108,91,133,38,,25.08.23,761
4,Wind Gen (MU),63,193,135,-,-,,25.08.23,391
5,Solar Gen (MU),124.62,49.26,125.05,1.66,0.84,,25.08.23,301
6,Energy Shortage (MU),1.84,0.53,0.00,1.46,1.66,,25.08.23,5.49
7,Schedule(MU),253.2,-292.3,209.1,-154.4,-15.7,,25.08.23,0.0
8,Actual(MU),218.6,-303.5,243.8,-148.9,-14.3,,25.08.23,-4.3
9,O/D/U/D(MU),-34.7,-11.2,34.7,5.5,1.3,,25.08.23,-4.3
10,Central,2887,10742,5508,2500,305,,25.08.23,21941
11,State,4535,12904,6431,3850,129,,25.08.23,27849
12,Coal,780,1418,664,609,16,,25.08.23,3486
13,Lignite,26,11,43,0,0,,25.08.23,80
14,Hydro,392,108,91,133,38,,25.08.23,761
15,Nuclear,29,52,46,0,0,,25.08.23,127
0,Demand Met during Evening Peak hrs(MW),66778,56381,45772,24251,3057,,25.09.23,196239
1,Peak Shortage (MW),260,0,0,0,274,,25.09.23,534
2,Energy Met (MU),1395,1283,1087,525,61,,25.09.23,4352
3,Hydro Gen (MU),265,113,67,126,29,,25.09.23,600
4,Wind Gen (MU),14,46,115,-,-,,25.09.23,176
5,Solar Gen (MU),132.07,50.24,104.33,2.58,1.20,,25.09.23,290
6,Energy Shortage (MU),3.12,0.00,0.00,0.14,0.75,,25.09.23,4.01
7,Schedule(MU),277.3,-232.7,112.3,-154.7,-2.3,,25.09.23,0.0
8,Actual(MU),259.0,-244.9,132.3,-154.7,0.7,,25.09.23,-7.7
9,O/D/U/D(MU),-18.3,-12.3,20.0,-0.1,3.0,,25.09.23,-7.7
10,Central,4739,11124,4968,910,505,,25.09.23,22245
11,State,4486,11536,5982,3550,219,,25.09.23,25773
12,Coal,729,1331,592,614,12,,25.09.23,3278
13,Lignite,29,13,39,0,0,,25.09.23,82
14,Hydro,265,113,67,126,29,,25.09.23,600
15,Nuclear,25,54,76,0,0,,25.09.23,154
0,Demand Met during Evening Peak hrs(MW),52776,62806,48827,20973,2691,,25.10.23,188073
1,Peak Shortage (MW),70,0,0,0,0,,25.10.23,70
2,Energy Met (MU),1116,1481,1207,460,49,,25.10.23,4313
3,Hydro Gen (MU),160,38,57,44,20,,25.10.23,320
4,Wind Gen (MU),3,33,34,-,-,,25.10.23,69
5,Solar Gen (MU),123.58,63.32,121.36,5.28,0.71,,25.10.23,314
6,Energy Shortage (MU),0.39,0.00,0.00,0.10,0.03,,25.10.23,0.52
7,Schedule(MU),139.4,-155.9,183.3,-156.4,-6.6,,25.10.23,3.8
8,Actual(MU),131.9,-133.2,198.8,-194.5,-6.8,,25.10.23,-3.7
9,O/D/U/D(MU),-7.6,22.7,15.6,-38.1,-0.1,,25.10.23,-7.5
10,Central,6428,7922,3718,3826,205,,25.10.23,22098
11,State,5056,9414,4461,1320,121,,25.10.23,20371
12,Coal,711,1535,715,667,14,,25.10.23,3641
13,Lignite,27,16,54,0,0,,25.10.23,98
14,Hydro,160,38,57,44,20,,25.10.23,320
15,Nuclear,16,53,71,0,0,,25.10.23,140
0,Demand Met during Evening Peak hrs(MW),56572,56348,48670,24369,2914,,26.04.23,188873
1,Peak Shortage (MW),0,0,0,0,59,,26.04.23,59
2,Energy Met (MU),1226,1433,1139,527,53,,26.04.23,4378
3,Hydro Gen (MU),175,26,67,38,10,,26.04.23,316
4,Wind Gen (MU),26,107,24,-,-,,26.04.23,157
5,Solar Gen (MU),120.29,59.41,112.45,3.09,1.28,,26.04.23,297
6,Energy Shortage (MU),0.47,0.00,0.00,1.78,1.36,,26.04.23,3.61
7,Schedule(MU),152.1,-211.4,169.4,-112.9,2.8,,26.04.23,0.0
8,Actual(MU),130.6,-194.8,172.9,-118.2,4.0,,26.04.23,-5.5
9,O/D/U/D(MU),-21.6,16.6,3.5,-5.2,1.2,,26.04.23,-5.5
10,Central,5362,8451,4038,1390,446,,26.04.23,19687
11,State,5120,10325,2836,1750,285,,26.04.23,20315
12,Coal,763,1486,703,694,15,,26.04.23,3662
13,Lignite,27,20,59,0,0,,26.04.23,106
14,Hydro,175,26,67,38,10,,26.04.23,316
15,Nuclear,29,37,45,0,0,,26.04.23,111
